topic,languages,main_speaker,duration,film_date,published_date,comments,views
Politics,29,Joseph Lekuton,326,2007,2008,43,200726
Technology&Science ,32,Steve Jurvetson,202,2007,2008,26,412154
Technology&Science ,26,Roy Gould + Curtis Wong,402,2008,2008,70,1034064
Education,29,Alan Kay,1237,2007,2008,61,777609
Technology&Science ,24,Craig Venter,954,2008,2008,137,1004893
Technology&Science ,18,Nicholas Negroponte,1523,1984,2008,64,974087
Technology&Science ,19,Frank Gehry,2678,1990,2008,9,620806
Education,32,Dave Eggers,1535,2008,2008,231,1357888
Society,30,Karen Armstrong,1288,2008,2008,456,1277619
Technology&Science ,22,Neil Turok,1490,2008,2008,69,473165
Technology&Science ,23,Norman Foster,1917,2007,2008,67,763815
Technology&Science ,38,Christopher deCharms,242,2008,2008,156,1485761
Education,27,Clifford Stoll,1077,2006,2008,251,2283491
Technology&Science ,40,Siegfried Woldhek,264,2008,2008,82,1224127
Technology&Science ,36,David Hoffman,230,2007,2008,39,311741
Art,34,Jakob Trollback,240,2007,2008,68,480377
Technology&Science ,39,Stephen Hawking,612,2008,2008,551,8655723
Technology&Science ,44,Al Gore,1674,2008,2008,664,1751426
Technology&Science ,36,Johnny Lee,340,2008,2008,258,5483940
Technology&Science ,21,Tod Machover + Dan Ellsey,1241,2008,2008,87,497153
Economy,24,Yochai Benkler,1072,2005,2008,92,753974
Health&Medical,19,Ernest Madu,1003,2007,2008,51,371754
Self-development,34,Amy Tan,1372,2008,2008,145,2477746
Technology&Science ,35,Brian Greene,1146,2005,2008,534,4119616
Technology&Science ,37,Brian Cox,899,2008,2008,292,3074172
Art,17,They Might Be Giants,1041,2007,2008,39,362609
Technology&Science ,18,Hector Ruiz,1197,2007,2008,32,315244
Technology&Science ,28,Paul Stamets,1064,2008,2008,356,4060628
Technology&Science ,18,Paul Ewald,1071,2007,2008,69,442623
Technology&Science ,18,Michael Moschen,2222,2002,2008,82,944836
Technology&Science ,33,Joshua Klein,606,2008,2008,303,2398373
Environment,30,Mark Bittman,1208,2007,2008,537,3830672
Technology&Science ,23,Robert Ballard,1099,2008,2008,111,1281570
Society,27,Yves Behar,1063,2008,2008,60,1109822
Art,24,Arthur Ganson,944,2004,2008,76,672113
Health&Medical,21,Seyi Oyesola,863,2007,2008,49,230569
Economy,23,Paul Collier,1011,2008,2008,139,990220
Technology&Science ,23,Susan Blackmore,1168,2008,2008,358,735638
Technology&Science ,18,Nathan Myhrvold,1034,2007,2008,57,437132
Society,20,Wade Davis,1152,2008,2008,174,984223
Technology&Science ,24,George Dyson,1038,2003,2008,85,838799
