date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:33:12	211/211	---MCZ	200	added ('OK')	image/png	date:Wed,%2015%20Aug%202018%2002:33:12%20GMT	http://jasoseol.com/assets/main/resume/load/no_expand.png	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/assets/main/resume/load/no_expand.png	(from http://jasoseol.com/assets/application_web_main-c08f5cbd150ac70f1ce12b384f512d1b446bcd1b5e93e13cd6c478d55af38b85.css)
11:33:12	177/177	---MCZ	200	added ('OK')	image/png	date:Wed,%2015%20Aug%202018%2002:33:12%20GMT	http://jasoseol.com/assets/main/resume/load/expand.png	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/assets/main/resume/load/expand.png	(from http://jasoseol.com/assets/application_web_main-c08f5cbd150ac70f1ce12b384f512d1b446bcd1b5e93e13cd6c478d55af38b85.css)
11:33:13	347/347	---M-Z	200	added ('OK')	image/png	etag:W/%2259b81ff7-15b%22	http://jasoseol.com/assets/chat/X_gray-067cbbb80c6e60dd22a2f6302252529d5b10dd90d943cf943a80d124fb6f169c.png	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/assets/chat/X_gray-067cbbb80c6e60dd22a2f6302252529d5b10dd90d943cf943a80d124fb6f169c.png	(from http://jasoseol.com/assets/application_web_main-c08f5cbd150ac70f1ce12b384f512d1b446bcd1b5e93e13cd6c478d55af38b85.css)
11:33:13	19250/19250	---M-Z	200	added ('OK')	image/png	etag:W/%2259b81ff7-4b32%22	http://jasoseol.com/assets/main/resume/arrow-down-3c057d522ff07d2a76ef53c51ae1502c84b7ceb9be5d45d119c0246ac116de86.png	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/assets/main/resume/arrow-down-3c057d522ff07d2a76ef53c51ae1502c84b7ceb9be5d45d119c0246ac116de86.png	(from http://jasoseol.com/assets/application_web_main-c08f5cbd150ac70f1ce12b384f512d1b446bcd1b5e93e13cd6c478d55af38b85.css)
11:33:13	15729/15729	---M-Z	200	added ('OK')	image/png	etag:W/%2259b81ff7-3d71%22	http://jasoseol.com/assets/community/dropdown-5bf0aa7bcb4c8f37d966ed8f1b78ebbee7e370a13ea49e6b11f5c192f69fad91.png	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/assets/community/dropdown-5bf0aa7bcb4c8f37d966ed8f1b78ebbee7e370a13ea49e6b11f5c192f69fad91.png	(from http://jasoseol.com/assets/application_web_main-c08f5cbd150ac70f1ce12b384f512d1b446bcd1b5e93e13cd6c478d55af38b85.css)
11:33:13	19043/19043	---M-Z	200	added ('OK')	image/png	etag:W/%2259b81ff7-4a63%22	http://jasoseol.com/assets/main/resume/arrow-up-76ce165bf76da4292ea584bb74bc5f458cc892629974c6bf829aa1443da71964.png	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/assets/main/resume/arrow-up-76ce165bf76da4292ea584bb74bc5f458cc892629974c6bf829aa1443da71964.png	(from http://jasoseol.com/assets/application_web_main-c08f5cbd150ac70f1ce12b384f512d1b446bcd1b5e93e13cd6c478d55af38b85.css)
11:33:13	1527/1527	---M-Z	200	added ('OK')	image/png	etag:W/%2259b81ff7-5f7%22	http://jasoseol.com/assets/community/dropdown_up-f4b8096abf17a5ad515ef1b7ce47a8ff3d3d3e83df7161474bcc9ea483fded72.png	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/assets/community/dropdown_up-f4b8096abf17a5ad515ef1b7ce47a8ff3d3d3e83df7161474bcc9ea483fded72.png	(from http://jasoseol.com/assets/application_web_main-c08f5cbd150ac70f1ce12b384f512d1b446bcd1b5e93e13cd6c478d55af38b85.css)
11:33:14	328/328	---M-Z	200	added ('OK')	image/png	etag:W/%2259b81ff7-148%22	http://jasoseol.com/assets/chat/X_bright_gray-6f0171d2f21568e4b8b5534484d89545ba09d85260a4b69af46653449dd9bb6d.png	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/assets/chat/X_bright_gray-6f0171d2f21568e4b8b5534484d89545ba09d85260a4b69af46653449dd9bb6d.png	(from http://jasoseol.com/assets/application_web_main-c08f5cbd150ac70f1ce12b384f512d1b446bcd1b5e93e13cd6c478d55af38b85.css)
11:33:14	3275/3275	---M--	200	added ('OK')	image/png	etag:%22e9592ea03c43713fe2afda4300b176a6%22	http://jasoseol.s3-ap-northeast-2.amazonaws.com/blog_posts/thumbnails/000/000/046/small/1.png?1519820148	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.s3-ap-northeast-2.amazonaws.com/blog_posts/thumbnails/000/000/046/small/14fa9.png	(from http://jasoseol.com/blog/post/46)
11:33:16	13654/13654	---M--	200	added ('OK')	image/png	etag:%22c99e6cb7322f6f57d31ae570d2b39d5f%22	http://jasoseol.image.s3-ap-northeast-1.amazonaws.com/spec_images/images/000/183/753/original/20170301_%e1%84%8c%e1%85%a1%e1%84%89%e1%85%a9%e1%84%89%e1%85%a5%e1%86%af-%e1%84%8b%e1%85%a1%e1%86%ab%e1%84%82%e1%85%a2%e1%84%89%e1%85%a5-1%e1%84%87%e1%85%a5%e1%86%ab%e1%84%8d%e1%85%a2-%e1%84%8c%e1%85%ae%e1%84%8c%e1%85%a6.png?1519819983	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.image.s3-ap-northeast-1.amazonaws.com/spec_images/images/000/183/753/original/20170301_%e1%84%8c%e1%85%a1%e1%84%89%e1%85%a9%e1%84%89%e1%85%a5%e1%86%af-%e1%84%8b%e1%85%a1%e1%86%ab%e1%84%82%e1%85%a2%e1%84%89%e1%85%a5-1%e1%84%87%e1%85%a5%e1%86%ab%e1%84%8d%e1%85%a2-%e1%84%8c%e1%85%ae%e1%84%8c%e1%85%a6fda7.png	(from http://jasoseol.com/blog/post/46)
